央视,#genre#
CETV2,http://112.86.202.37:8112/JSBC_iptv/C10000098@JSBC
CETV4,http://112.86.202.37:8112/JSBC_iptv/C10000405@JSBC
CETV早期教育,http://112.86.202.37:8112/JSBC_iptv/C10000417@JSBC
金鹰卡通,http://112.86.202.37:8112/JSBC_iptv/C10000216@JSBC
优漫卡通,http://112.86.202.37:8112/JSBC_iptv/C10000228@JSBC
先锋乒羽,http://112.86.202.37:8112/JSBC_iptv/C10000159@JSBC
武术世界,http://112.86.202.37:8112/JSBC_iptv/C10000236@JSBC
梨园频道,http://112.86.202.37:8112/JSBC_iptv/C10000235@JSBC
CGTN,http://112.86.202.37:8112/JSBC_iptv/C10000021@JSBC
CGTN记录,https://0472.org/hls/cgtnd.m3u8
好享购物,http://112.86.202.37:8112/JSBC_iptv/C10000033@JSBC
江苏财富天下,http://112.86.202.37:8112/JSBC_iptv/C10000099@JSBC
港台,#genre#
澳门莲花,http://php.jdshipin.com:8880/amlh.php
凤凰香港,http://kxrj.site:12581/665/fh.php?id=fhhk
凤凰资讯,http://kxrj.site:12581/665/fh.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰电影,http://home.js001.com:7777/stream/channelid/884059847?profile=pass
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://kxrj.site:12581/665/fh.php?id=fhzw
凤凰中文,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
龍祥电影,http://ali.hlspull.yximgs.com/live/62cde5be2b387b5d597a671c341e31a5.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
